period,geo4,mc_group,speed_bucket,geom_group,crashes,share,share_pct
2024–2025,MELB_URBAN,Non-motorcycle,70–80,Not at intersection,707,0.11714995857497928,11.714995857497929
2024–2025,MELB_URBAN,Non-motorcycle,70–80,Cross intersection,446,0.07390223695111847,7.390223695111847
2024–2025,MELB_URBAN,Non-motorcycle,70–80,T intersection,356,0.05898922949461475,5.8989229494614746
2024–2025,MELB_URBAN,Non-motorcycle,>=90,Not at intersection,352,0.05832642916321458,5.832642916321458
2024–2025,MELB_URBAN,Non-motorcycle,>=90,Cross intersection,19,0.003148301574150787,0.3148301574150787
2024–2025,MELB_URBAN,Non-motorcycle,>=90,T intersection,9,0.001491300745650373,0.1491300745650373
2024–2025,RURAL_VICTORIA,Motorcycle-involved,<=60,Not at intersection,2,0.1,10
2024–2025,RURAL_VICTORIA,Motorcycle-involved,<=60,Cross intersection,1,0.05,5
2024–2025,RURAL_VICTORIA,Motorcycle-involved,<=60,T intersection,1,0.05,5
2024–2025,RURAL_VICTORIA,Motorcycle-involved,70–80,Not at intersection,4,0.2,20
2024–2025,RURAL_VICTORIA,Motorcycle-involved,70–80,T intersection,2,0.1,10
2024–2025,RURAL_VICTORIA,Motorcycle-involved,>=90,Not at intersection,9,0.45,45
2024–2025,RURAL_VICTORIA,Motorcycle-involved,>=90,T intersection,1,0.05,5
2024–2025,RURAL_VICTORIA,Non-motorcycle,<=60,Not at intersection,265,0.12505899008966492,12.505899008966493
2024–2025,RURAL_VICTORIA,Non-motorcycle,<=60,Cross intersection,93,0.0438886267107126,4.38886267107126
2024–2025,RURAL_VICTORIA,Non-motorcycle,<=60,T intersection,109,0.05143935818782445,5.143935818782444
2024–2025,RURAL_VICTORIA,Non-motorcycle,70–80,Not at intersection,401,0.18924020764511562,18.92402076451156
2024–2025,RURAL_VICTORIA,Non-motorcycle,70–80,Cross intersection,82,0.038697498820198205,3.8697498820198204
2024–2025,RURAL_VICTORIA,Non-motorcycle,70–80,T intersection,122,0.05757432751297782,5.757432751297782
2024–2025,RURAL_VICTORIA,Non-motorcycle,>=90,Not at intersection,847,0.3997168475696083,39.971684756960826
2024–2025,RURAL_VICTORIA,Non-motorcycle,>=90,Cross intersection,95,0.04483246814535158,4.483246814535158
2024–2025,RURAL_VICTORIA,Non-motorcycle,>=90,T intersection,105,0.049551675318546484,4.955167531854649
2024–2025,SMALL_CITIES,Motorcycle-involved,<=60,Not at intersection,1,0.125,12.5
2024–2025,SMALL_CITIES,Motorcycle-involved,<=60,Cross intersection,3,0.375,37.5
2024–2025,SMALL_CITIES,Motorcycle-involved,<=60,T intersection,3,0.375,37.5
2024–2025,SMALL_CITIES,Motorcycle-involved,70–80,Cross intersection,1,0.125,12.5
2024–2025,SMALL_CITIES,Non-motorcycle,<=60,Not at intersection,164,0.32220039292730845,32.220039292730846
2024–2025,SMALL_CITIES,Non-motorcycle,<=60,Cross intersection,153,0.3005893909626719,30.05893909626719
2024–2025,SMALL_CITIES,Non-motorcycle,<=60,T intersection,112,0.2200392927308448,22.00392927308448
2024–2025,SMALL_CITIES,Non-motorcycle,70–80,Not at intersection,31,0.060903732809430254,6.090373280943026
2024–2025,SMALL_CITIES,Non-motorcycle,70–80,Cross intersection,18,0.03536345776031434,3.536345776031434
2024–2025,SMALL_CITIES,Non-motorcycle,70–80,T intersection,21,0.0412573673870334,4.12573673870334
2024–2025,SMALL_CITIES,Non-motorcycle,>=90,Not at intersection,8,0.015717092337917484,1.5717092337917484
2024–2025,SMALL_CITIES,Non-motorcycle,>=90,Cross intersection,1,0.0019646365422396855,0.19646365422396855
2024–2025,SMALL_CITIES,Non-motorcycle,>=90,T intersection,1,0.0019646365422396855,0.19646365422396855
2024–2025,TOWNS,Motorcycle-involved,<=60,Not at intersection,1,0.1111111111111111,11.11111111111111
2024–2025,TOWNS,Motorcycle-involved,<=60,Cross intersection,3,0.3333333333333333,33.33333333333333
2024–2025,TOWNS,Motorcycle-involved,<=60,T intersection,3,0.3333333333333333,33.33333333333333
2024–2025,TOWNS,Motorcycle-involved,70–80,T intersection,1,0.1111111111111111,11.11111111111111
2024–2025,TOWNS,Motorcycle-involved,>=90,Not at intersection,1,0.1111111111111111,11.11111111111111
2024–2025,TOWNS,Non-motorcycle,<=60,Not at intersection,102,0.36298932384341637,36.29893238434164
2024–2025,TOWNS,Non-motorcycle,<=60,Cross intersection,91,0.3238434163701068,32.38434163701068
2024–2025,TOWNS,Non-motorcycle,<=60,T intersection,43,0.15302491103202848,15.302491103202847
2024–2025,TOWNS,Non-motorcycle,70–80,Not at intersection,21,0.07473309608540925,7.473309608540925
2024–2025,TOWNS,Non-motorcycle,70–80,Cross intersection,7,0.02491103202846975,2.491103202846975
2024–2025,TOWNS,Non-motorcycle,70–80,T intersection,5,0.017793594306049824,1.7793594306049825
2024–2025,TOWNS,Non-motorcycle,>=90,Not at intersection,10,0.03558718861209965,3.558718861209965
2024–2025,TOWNS,Non-motorcycle,>=90,Cross intersection,1,0.0035587188612099642,0.3558718861209964
2024–2025,TOWNS,Non-motorcycle,>=90,T intersection,1,0.0035587188612099642,0.3558718861209964
