period,geo4,mc_group,speed_bucket,geom_group,crashes,fatalities,fatal_per_1000,share,share_pct
2012–2014,RURAL_VICTORIA,Motorcycle-involved,<=60,T intersection,3,0,0,0.06,6
2012–2014,RURAL_VICTORIA,Motorcycle-involved,70–80,Not at intersection,5,2,400,0.1,10
2012–2014,RURAL_VICTORIA,Motorcycle-involved,70–80,Cross intersection,6,0,0,0.12,12
2012–2014,RURAL_VICTORIA,Motorcycle-involved,70–80,T intersection,3,0,0,0.06,6
2012–2014,RURAL_VICTORIA,Motorcycle-involved,>=90,Not at intersection,16,0,0,0.32,32
2012–2014,RURAL_VICTORIA,Motorcycle-involved,>=90,Cross intersection,6,0,0,0.12,12
2012–2014,RURAL_VICTORIA,Motorcycle-involved,>=90,T intersection,8,1,125,0.16,16
2012–2014,RURAL_VICTORIA,Non-motorcycle,<=60,Not at intersection,487,5,10.26694045174538,0.06169242462629845,6.169242462629845
2012–2014,RURAL_VICTORIA,Non-motorcycle,<=60,Cross intersection,101,0,0,0.012794527489232328,1.2794527489232328
2012–2014,RURAL_VICTORIA,Non-motorcycle,<=60,T intersection,158,1,6.329113924050633,0.02001520141879909,2.001520141879909
2012–2014,RURAL_VICTORIA,Non-motorcycle,70–80,Not at intersection,1166,37,31.732418524871356,0.14770711933113756,14.770711933113756
2012–2014,RURAL_VICTORIA,Non-motorcycle,70–80,Cross intersection,245,4,16.3265306122449,0.031036230048137825,3.1036230048137825
2012–2014,RURAL_VICTORIA,Non-motorcycle,70–80,T intersection,358,5,13.966480446927374,0.04535089941727895,4.535089941727895
2012–2014,RURAL_VICTORIA,Non-motorcycle,>=90,Not at intersection,4276,287,67.11880261927034,0.5416772232074993,54.16772232074993
2012–2014,RURAL_VICTORIA,Non-motorcycle,>=90,Cross intersection,472,36,76.27118644067797,0.05979224727641246,5.979224727641246
2012–2014,RURAL_VICTORIA,Non-motorcycle,>=90,T intersection,631,30,47.543581616481774,0.07993412718520396,7.993412718520395
2012–2014,SMALL_CITIES,Motorcycle-involved,<=60,Not at intersection,6,0,0,0.3157894736842105,31.57894736842105
2012–2014,SMALL_CITIES,Motorcycle-involved,<=60,Cross intersection,6,0,0,0.3157894736842105,31.57894736842105
2012–2014,SMALL_CITIES,Motorcycle-involved,<=60,T intersection,6,0,0,0.3157894736842105,31.57894736842105
2012–2014,SMALL_CITIES,Motorcycle-involved,70–80,T intersection,1,0,0,0.05263157894736842,5.263157894736842
2012–2014,SMALL_CITIES,Non-motorcycle,<=60,Not at intersection,599,5,8.347245409015025,0.2993503248375812,29.93503248375812
2012–2014,SMALL_CITIES,Non-motorcycle,<=60,Cross intersection,586,3,5.1194539249146755,0.2928535732133933,29.28535732133933
2012–2014,SMALL_CITIES,Non-motorcycle,<=60,T intersection,443,2,4.514672686230249,0.22138930534732634,22.138930534732634
2012–2014,SMALL_CITIES,Non-motorcycle,70–80,Not at intersection,111,4,36.03603603603604,0.05547226386806597,5.547226386806597
2012–2014,SMALL_CITIES,Non-motorcycle,70–80,Cross intersection,96,0,0,0.047976011994003,4.7976011994003
2012–2014,SMALL_CITIES,Non-motorcycle,70–80,T intersection,102,1,9.803921568627452,0.050974512743628186,5.097451274362818
2012–2014,SMALL_CITIES,Non-motorcycle,>=90,Not at intersection,52,7,134.6153846153846,0.025987006496751622,2.598700649675162
2012–2014,SMALL_CITIES,Non-motorcycle,>=90,Cross intersection,6,0,0,0.0029985007496251873,0.29985007496251875
2012–2014,SMALL_CITIES,Non-motorcycle,>=90,T intersection,6,0,0,0.0029985007496251873,0.29985007496251875
2012–2014,TOWNS,Motorcycle-involved,<=60,Not at intersection,4,0,0,0.4,40
2012–2014,TOWNS,Motorcycle-involved,<=60,Cross intersection,4,0,0,0.4,40
2012–2014,TOWNS,Motorcycle-involved,<=60,T intersection,1,0,0,0.1,10
2012–2014,TOWNS,Motorcycle-involved,70–80,T intersection,1,0,0,0.1,10
2012–2014,TOWNS,Non-motorcycle,<=60,Not at intersection,442,11,24.8868778280543,0.3584752635847526,35.847526358475264
