period,geo4,mc_group,speed_bucket,geom_group,crashes,fatalities,fatal_per_1000
2015–2017,MELB_URBAN,Non-motorcycle,70–80,Not at intersection,2864,44,15.363128491620111
2015–2017,MELB_URBAN,Non-motorcycle,70–80,Cross intersection,1609,20,12.430080795525171
2015–2017,MELB_URBAN,Non-motorcycle,70–80,T intersection,1681,21,12.492563950029744
2015–2017,MELB_URBAN,Non-motorcycle,>=90,Not at intersection,1486,19,12.78600269179004
2015–2017,MELB_URBAN,Non-motorcycle,>=90,Cross intersection,24,1,41.666666666666664
2015–2017,MELB_URBAN,Non-motorcycle,>=90,T intersection,30,2,66.66666666666667
2015–2017,RURAL_VICTORIA,Motorcycle-involved,<=60,Not at intersection,4,0,0
2015–2017,RURAL_VICTORIA,Motorcycle-involved,<=60,Cross intersection,1,0,0
2015–2017,RURAL_VICTORIA,Motorcycle-involved,70–80,Not at intersection,8,0,0
2015–2017,RURAL_VICTORIA,Motorcycle-involved,70–80,Cross intersection,1,0,0
2015–2017,RURAL_VICTORIA,Motorcycle-involved,70–80,T intersection,5,0,0
2015–2017,RURAL_VICTORIA,Motorcycle-involved,>=90,Not at intersection,21,5,238.0952380952381
2015–2017,RURAL_VICTORIA,Motorcycle-involved,>=90,Cross intersection,2,3,1500
2015–2017,RURAL_VICTORIA,Motorcycle-involved,>=90,T intersection,7,0,0
2015–2017,RURAL_VICTORIA,Non-motorcycle,<=60,Not at intersection,686,11,16.034985422740526
2015–2017,RURAL_VICTORIA,Non-motorcycle,<=60,Cross intersection,128,2,15.625
2015–2017,RURAL_VICTORIA,Non-motorcycle,<=60,T intersection,182,1,5.4945054945054945
2015–2017,RURAL_VICTORIA,Non-motorcycle,70–80,Not at intersection,1468,48,32.69754768392371
2015–2017,RURAL_VICTORIA,Non-motorcycle,70–80,Cross intersection,247,6,24.291497975708502
2015–2017,RURAL_VICTORIA,Non-motorcycle,70–80,T intersection,406,5,12.31527093596059
2015–2017,RURAL_VICTORIA,Non-motorcycle,>=90,Not at intersection,4559,289,63.39109453827594
2015–2017,RURAL_VICTORIA,Non-motorcycle,>=90,Cross intersection,452,37,81.85840707964601
2015–2017,RURAL_VICTORIA,Non-motorcycle,>=90,T intersection,577,30,51.99306759098787
2015–2017,SMALL_CITIES,Motorcycle-involved,<=60,Not at intersection,5,0,0
2015–2017,SMALL_CITIES,Motorcycle-involved,<=60,Cross intersection,10,0,0
2015–2017,SMALL_CITIES,Motorcycle-involved,<=60,T intersection,4,0,0
2015–2017,SMALL_CITIES,Non-motorcycle,<=60,Not at intersection,800,12,15
2015–2017,SMALL_CITIES,Non-motorcycle,<=60,Cross intersection,630,6,9.523809523809524
2015–2017,SMALL_CITIES,Non-motorcycle,<=60,T intersection,443,2,4.514672686230249
2015–2017,SMALL_CITIES,Non-motorcycle,70–80,Not at intersection,88,2,22.727272727272727
2015–2017,SMALL_CITIES,Non-motorcycle,70–80,Cross intersection,72,4,55.55555555555556
2015–2017,SMALL_CITIES,Non-motorcycle,70–80,T intersection,73,0,0
2015–2017,SMALL_CITIES,Non-motorcycle,>=90,Not at intersection,57,1,17.54385964912281
2015–2017,SMALL_CITIES,Non-motorcycle,>=90,Cross intersection,1,0,0
2015–2017,SMALL_CITIES,Non-motorcycle,>=90,T intersection,3,0,0
2015–2017,TOWNS,Motorcycle-involved,<=60,Not at intersection,4,0,0
2015–2017,TOWNS,Motorcycle-involved,<=60,Cross intersection,1,0,0
2015–2017,TOWNS,Motorcycle-involved,<=60,T intersection,2,0,0
2015–2017,TOWNS,Motorcycle-involved,70–80,Not at intersection,1,0,0
2015–2017,TOWNS,Motorcycle-involved,70–80,T intersection,1,1,1000
2015–2017,TOWNS,Motorcycle-involved,>=90,Not at intersection,1,0,0
2015–2017,TOWNS,Non-motorcycle,<=60,Not at intersection,485,6,12.371134020618557
2015–2017,TOWNS,Non-motorcycle,<=60,Cross intersection,383,0,0
2015–2017,TOWNS,Non-motorcycle,<=60,T intersection,225,0,0
2015–2017,TOWNS,Non-motorcycle,70–80,Not at intersection,83,5,60.24096385542169
2015–2017,TOWNS,Non-motorcycle,70–80,Cross intersection,19,0,0
2015–2017,TOWNS,Non-motorcycle,70–80,T intersection,50,0,0
2015–2017,TOWNS,Non-motorcycle,>=90,Not at intersection,54,4,74.07407407407408
2015–2017,TOWNS,Non-motorcycle,>=90,Cross intersection,12,2,166.66666666666666
2015–2017,TOWNS,Non-motorcycle,>=90,T intersection,11,0,0
2018–2020,MELB_URBAN,Motorcycle-involved,<=60,Not at intersection,75,2,26.666666666666668
2018–2020,MELB_URBAN,Motorcycle-involved,<=60,Cross intersection,58,0,0
2018–2020,MELB_URBAN,Motorcycle-involved,<=60,T intersection,40,0,0
2018–2020,MELB_URBAN,Motorcycle-involved,70–80,Not at intersection,33,1,30.303030303030305
2018–2020,MELB_URBAN,Motorcycle-involved,70–80,Cross intersection,15,0,0
2018–2020,MELB_URBAN,Motorcycle-involved,70–80,T intersection,13,2,153.84615384615384
2018–2020,MELB_URBAN,Motorcycle-involved,>=90,Not at intersection,10,0,0
2018–2020,MELB_URBAN,Motorcycle-involved,>=90,Cross intersection,1,0,0
2018–2020,MELB_URBAN,Non-motorcycle,<=60,Not at intersection,6852,64,9.340338587273788
2018–2020,MELB_URBAN,Non-motorcycle,<=60,Cross intersection,4218,22,5.215742057847321
2018–2020,MELB_URBAN,Non-motorcycle,<=60,T intersection,4397,39,8.86968387536957
2018–2020,MELB_URBAN,Non-motorcycle,70–80,Not at intersection,2661,45,16.910935738444195
2018–2020,MELB_URBAN,Non-motorcycle,70–80,Cross intersection,1436,22,15.32033426183844
2018–2020,MELB_URBAN,Non-motorcycle,70–80,T intersection,1264,13,10.284810126582279
2018–2020,MELB_URBAN,Non-motorcycle,>=90,Not at intersection,1069,13,12.160898035547241
2018–2020,MELB_URBAN,Non-motorcycle,>=90,Cross intersection,27,0,0
2018–2020,MELB_URBAN,Non-motorcycle,>=90,T intersection,14,0,0
2018–2020,RURAL_VICTORIA,Motorcycle-involved,<=60,Not at intersection,7,0,0
2018–2020,RURAL_VICTORIA,Motorcycle-involved,<=60,Cross intersection,2,0,0
2018–2020,RURAL_VICTORIA,Motorcycle-involved,<=60,T intersection,1,0,0
2018–2020,RURAL_VICTORIA,Motorcycle-involved,70–80,Not at intersection,15,0,0
2018–2020,RURAL_VICTORIA,Motorcycle-involved,70–80,Cross intersection,3,0,0
2018–2020,RURAL_VICTORIA,Motorcycle-involved,70–80,T intersection,2,0,0
2018–2020,RURAL_VICTORIA,Motorcycle-involved,>=90,Not at intersection,23,4,173.91304347826087
2018–2020,RURAL_VICTORIA,Motorcycle-involved,>=90,Cross intersection,2,0,0
2018–2020,RURAL_VICTORIA,Motorcycle-involved,>=90,T intersection,3,0,0
