period,geo4,surface_cat,crashes,share,share_pct
2012–2014,MELB_URBAN,Dry,21232,0.7731692218054695,77.31692218054695
2012–2014,MELB_URBAN,Wet,4363,0.15887986599177015,15.887986599177015
2012–2014,MELB_URBAN,Loose/Gravel,17,0.00061905975747423615,0.06190597574742362
2012–2014,MELB_URBAN,Snow/Ice,27,9.832125559884927e-4,0.09832125559884927
2012–2014,MELB_URBAN,Oil/Mud/Debris,34,0.0012381195149484723,0.12381195149484724
2012–2014,MELB_URBAN,Other/Unknown,1788,0.06511052037434907,6.511052037434907
2012–2014,RURAL_VICTORIA,Dry,6689,0.736187541272287,73.6187541272287
2012–2014,RURAL_VICTORIA,Wet,1684,0.18534008364516838,18.534008364516836
2012–2014,RURAL_VICTORIA,Loose/Gravel,8,8.804754567466431e-4,0.08804754567466432
2012–2014,RURAL_VICTORIA,Snow/Ice,228,0.02509355051727933,2.509355051727933
2012–2014,RURAL_VICTORIA,Oil/Mud/Debris,77,0.00847457627118644,0.847457627118644
2012–2014,RURAL_VICTORIA,Other/Unknown,400,0.04402377283733216,4.402377283733216
2012–2014,SMALL_CITIES,Dry,1761,0.8267605633802817,82.67605633802818
2012–2014,SMALL_CITIES,Wet,293,0.13755868544600938,13.755868544600938
2012–2014,SMALL_CITIES,Loose/Gravel,2,9.389671361502347e-4,0.09389671361502347
2012–2014,SMALL_CITIES,Snow/Ice,1,4.6948356807511736e-4,0.046948356807511735
2012–2014,SMALL_CITIES,Oil/Mud/Debris,2,9.389671361502347e-4,0.09389671361502347
2012–2014,SMALL_CITIES,Other/Unknown,71,0.03333333333333333,3.3333333333333335
2012–2014,TOWNS,Dry,1057,0.8099616858237548,80.99616858237549
2012–2014,TOWNS,Wet,212,0.16245210727969348,16.245210727969347
2012–2014,TOWNS,Snow/Ice,4,0.0030651340996168583,0.30651340996168586
2012–2014,TOWNS,Oil/Mud/Debris,4,0.0030651340996168583,0.30651340996168586
2012–2014,TOWNS,Other/Unknown,28,0.021455938697318006,2.1455938697318007
2015–2017,MELB_URBAN,Dry,22208,0.7849291344148729,78.49291344148729
2015–2017,MELB_URBAN,Wet,4077,0.14409924716360936,14.409924716360937
2015–2017,MELB_URBAN,Loose/Gravel,9,3.180998833633761e-4,0.031809988336337615
2015–2017,MELB_URBAN,Snow/Ice,21,7.422330611812109e-4,0.0742233061181211
2015–2017,MELB_URBAN,Oil/Mud/Debris,49,0.0017318771427561588,0.17318771427561588
2015–2017,MELB_URBAN,Other/Unknown,1929,0.06817940833421694,6.817940833421694
2015–2017,RURAL_VICTORIA,Dry,7419,0.7311520646496501,73.11520646496501
2015–2017,RURAL_VICTORIA,Wet,1899,0.18714891100817976,18.714891100817976
2015–2017,RURAL_VICTORIA,Loose/Gravel,8,7.884103675963339e-4,0.07884103675963339
2015–2017,RURAL_VICTORIA,Snow/Ice,240,0.023652311027890015,2.3652311027890014
2015–2017,RURAL_VICTORIA,Oil/Mud/Debris,91,0.008968167931408299,0.8968167931408298
2015–2017,RURAL_VICTORIA,Other/Unknown,490,0.04829013501527545,4.8290135015275455
2015–2017,SMALL_CITIES,Dry,1972,0.841296928327645,84.1296928327645
2015–2017,SMALL_CITIES,Wet,291,0.12414675767918089,12.414675767918089
2015–2017,SMALL_CITIES,Loose/Gravel,1,4.266211604095563e-4,0.042662116040955635
2015–2017,SMALL_CITIES,Snow/Ice,3,0.001279863481228669,0.12798634812286688
2015–2017,SMALL_CITIES,Oil/Mud/Debris,4,0.0017064846416382253,0.17064846416382254
2015–2017,SMALL_CITIES,Other/Unknown,73,0.03114334470989761,3.114334470989761
2015–2017,TOWNS,Dry,1134,0.8053977272727273,80.53977272727273
2015–2017,TOWNS,Wet,228,0.16193181818181818,16.193181818181817
2015–2017,TOWNS,Snow/Ice,5,0.0035511363636363635,0.35511363636363635
2015–2017,TOWNS,Oil/Mud/Debris,6,0.004261363636363636,0.4261363636363636
2015–2017,TOWNS,Other/Unknown,35,0.024857954545454544,2.4857954545454546
2018–2020,MELB_URBAN,Dry,19854,0.8014370483994672,80.14370483994672
2018–2020,MELB_URBAN,Wet,3100,0.12513623703225285,12.513623703225285
2018–2020,MELB_URBAN,Loose/Gravel,4,1.614661122996811e-4,0.016146611229968112
2018–2020,MELB_URBAN,Snow/Ice,18,7.26597505348565e-4,0.0726597505348565
2018–2020,MELB_URBAN,Oil/Mud/Debris,45,0.0018164937633714125,0.18164937633714126
2018–2020,MELB_URBAN,Other/Unknown,1752,0.07072215718726033,7.072215718726032
2018–2020,RURAL_VICTORIA,Dry,6726,0.7618076792388719,76.18076792388719
2018–2020,RURAL_VICTORIA,Wet,1474,0.16694982444217918,16.694982444217917
2018–2020,RURAL_VICTORIA,Loose/Gravel,11,0.0012458942122550686,0.12458942122550686
2018–2020,RURAL_VICTORIA,Snow/Ice,156,0.01766904519198097,1.766904519198097
2018–2020,RURAL_VICTORIA,Oil/Mud/Debris,61,0.00690904972250538,0.6909049722505379
2018–2020,RURAL_VICTORIA,Other/Unknown,401,0.0454185071922075,4.54185071922075
2018–2020,SMALL_CITIES,Dry,1766,0.8465963566634708,84.65963566634707
2018–2020,SMALL_CITIES,Wet,232,0.1112176414189837,11.12176414189837
2018–2020,SMALL_CITIES,Loose/Gravel,1,4.7938638542665386e-4,0.047938638542665384
2018–2020,SMALL_CITIES,Snow/Ice,3,0.0014381591562799617,0.14381591562799617
2018–2020,SMALL_CITIES,Oil/Mud/Debris,8,0.003835091083413231,0.38350910834132307
2018–2020,SMALL_CITIES,Other/Unknown,76,0.0364333652924257,3.64333652924257
2018–2020,TOWNS,Dry,1025,0.8340113913751017,83.40113913751017
2018–2020,TOWNS,Wet,155,0.12611879576891782,12.611879576891782
2018–2020,TOWNS,Loose/Gravel,1,8.136696501220504e-4,0.08136696501220504
2018–2020,TOWNS,Snow/Ice,2,0.0016273393002441008,0.16273393002441008
2018–2020,TOWNS,Oil/Mud/Debris,1,8.136696501220504e-4,0.08136696501220504
2018–2020,TOWNS,Other/Unknown,45,0.03661513425549227,3.6615134255492268
