period,geo4,surface_cat,crashes,fatalities,fatal_per_1000,share,share_pct
2012–2014,MELB_URBAN,Dry,21232,242,11.397889977392614,0.7731692218054695,77.31692218054695
2012–2014,MELB_URBAN,Wet,4363,36,8.25120330048132,0.15887986599177015,15.887986599177015
2012–2014,MELB_URBAN,Loose/Gravel,17,0,0,0.00061905975747423615,0.06190597574742362
2012–2014,MELB_URBAN,Snow/Ice,27,0,0,9.832125559884927e-4,0.09832125559884927
2012–2014,MELB_URBAN,Oil/Mud/Debris,34,0,0,0.0012381195149484723,0.12381195149484724
2012–2014,MELB_URBAN,Other/Unknown,1788,0,0,0.06511052037434907,6.511052037434907
2012–2014,RURAL_VICTORIA,Dry,6689,348,52.02571385857378,0.736187541272287,73.6187541272287
2012–2014,RURAL_VICTORIA,Wet,1684,60,35.62945368171022,0.18534008364516838,18.534008364516836
2012–2014,RURAL_VICTORIA,Loose/Gravel,8,0,0,8.804754567466431e-4,0.08804754567466432
2012–2014,RURAL_VICTORIA,Snow/Ice,228,2,8.771929824561404,0.02509355051727933,2.509355051727933
2012–2014,RURAL_VICTORIA,Oil/Mud/Debris,77,2,25.974025974025974,0.00847457627118644,0.847457627118644
2012–2014,RURAL_VICTORIA,Other/Unknown,400,7,17.5,0.04402377283733216,4.402377283733216
2012–2014,SMALL_CITIES,Dry,1761,19,10.789324247586599,0.8267605633802817,82.67605633802818
2012–2014,SMALL_CITIES,Wet,293,4,13.651877133105803,0.13755868544600938,13.755868544600938
2012–2014,SMALL_CITIES,Loose/Gravel,2,0,0,9.389671361502347e-4,0.09389671361502347
2012–2014,SMALL_CITIES,Snow/Ice,1,0,0,4.6948356807511736e-4,0.046948356807511735
2012–2014,SMALL_CITIES,Oil/Mud/Debris,2,0,0,9.389671361502347e-4,0.09389671361502347
2012–2014,SMALL_CITIES,Other/Unknown,71,0,0,0.03333333333333333,3.3333333333333335
2012–2014,TOWNS,Dry,1057,26,24.597918637653738,0.8099616858237548,80.99616858237549
2012–2014,TOWNS,Wet,212,5,23.58490566037736,0.16245210727969348,16.245210727969347
2012–2014,TOWNS,Snow/Ice,4,0,0,0.0030651340996168583,0.30651340996168586
2012–2014,TOWNS,Oil/Mud/Debris,4,0,0,0.0030651340996168583,0.30651340996168586
2012–2014,TOWNS,Other/Unknown,28,0,0,0.021455938697318006,2.1455938697318007
2015–2017,MELB_URBAN,Dry,22208,250,11.257204610951009,0.7849291344148729,78.49291344148729
2015–2017,MELB_URBAN,Wet,4077,35,8.584743684081433,0.14409924716360936,14.409924716360937
2015–2017,MELB_URBAN,Loose/Gravel,9,0,0,3.180998833633761e-4,0.031809988336337615
2015–2017,MELB_URBAN,Snow/Ice,21,0,0,7.422330611812109e-4,0.0742233061181211
2015–2017,MELB_URBAN,Oil/Mud/Debris,49,1,20.408163265306122,0.0017318771427561588,0.17318771427561588
2015–2017,MELB_URBAN,Other/Unknown,1929,0,0,0.06817940833421694,6.817940833421694
2015–2017,RURAL_VICTORIA,Dry,7419,367,49.467583232241545,0.7311520646496501,73.11520646496501
2015–2017,RURAL_VICTORIA,Wet,1899,66,34.75513428120063,0.18714891100817976,18.714891100817976
2015–2017,RURAL_VICTORIA,Loose/Gravel,8,0,0,7.884103675963339e-4,0.07884103675963339
2015–2017,RURAL_VICTORIA,Snow/Ice,240,4,16.666666666666668,0.023652311027890015,2.3652311027890014
2015–2017,RURAL_VICTORIA,Oil/Mud/Debris,91,4,43.956043956043956,0.008968167931408299,0.8968167931408298
2015–2017,RURAL_VICTORIA,Other/Unknown,490,11,22.448979591836736,0.04829013501527545,4.8290135015275455
2015–2017,SMALL_CITIES,Dry,1972,24,12.170385395537526,0.841296928327645,84.1296928327645
2015–2017,SMALL_CITIES,Wet,291,5,17.18213058419244,0.12414675767918089,12.414675767918089
2015–2017,SMALL_CITIES,Loose/Gravel,1,0,0,4.266211604095563e-4,0.042662116040955635
2015–2017,SMALL_CITIES,Snow/Ice,3,1,333.3333333333333,0.001279863481228669,0.12798634812286688
2015–2017,SMALL_CITIES,Oil/Mud/Debris,4,0,0,0.0017064846416382253,0.17064846416382254
2015–2017,SMALL_CITIES,Other/Unknown,73,0,0,0.03114334470989761,3.114334470989761
2015–2017,TOWNS,Dry,1134,15,13.227513227513228,0.8053977272727273,80.53977272727273
2015–2017,TOWNS,Wet,228,6,26.31578947368421,0.16193181818181818,16.193181818181817
2015–2017,TOWNS,Snow/Ice,5,0,0,0.0035511363636363635,0.35511363636363635
2015–2017,TOWNS,Oil/Mud/Debris,6,0,0,0.004261363636363636,0.4261363636363636
2015–2017,TOWNS,Other/Unknown,35,0,0,0.024857954545454544,2.4857954545454546
2018–2020,MELB_URBAN,Dry,19854,209,10.526845975622042,0.8014370483994672,80.14370483994672
2018–2020,MELB_URBAN,Wet,3100,22,7.096774193548387,0.12513623703225285,12.513623703225285
2018–2020,MELB_URBAN,Loose/Gravel,4,0,0,1.614661122996811e-4,0.016146611229968112
2018–2020,MELB_URBAN,Snow/Ice,18,0,0,7.26597505348565e-4,0.0726597505348565
2018–2020,MELB_URBAN,Oil/Mud/Debris,45,1,22.22222222222222,0.0018164937633714125,0.18164937633714126
2018–2020,MELB_URBAN,Other/Unknown,1752,2,1.1415525114155252,0.07072215718726033,7.072215718726032
2018–2020,RURAL_VICTORIA,Dry,6726,308,45.792447219744275,0.7618076792388719,76.18076792388719
2018–2020,RURAL_VICTORIA,Wet,1474,43,29.17232021709634,0.16694982444217918,16.694982444217917
