period,geo4,hv_group,geom_group,crashes,fatalities,fatal_per_1000
2018–2020,RURAL_VICTORIA,Heavy-vehicle involved,Cross intersection,23,0,0
2018–2020,RURAL_VICTORIA,Heavy-vehicle involved,T intersection,40,1,25
2018–2020,RURAL_VICTORIA,Heavy-vehicle involved,Other/Unknown,4,0,0
2018–2020,RURAL_VICTORIA,Other-vehicle,Not at intersection,6292,289,45.93134138588684
2018–2020,RURAL_VICTORIA,Other-vehicle,Cross intersection,921,34,36.91639522258415
2018–2020,RURAL_VICTORIA,Other-vehicle,T intersection,1101,22,19.981834695731152
2018–2020,RURAL_VICTORIA,Other-vehicle,Other/Unknown,151,4,26.490066225165563
2018–2020,SMALL_CITIES,Heavy-vehicle involved,Not at intersection,87,1,11.494252873563218
2018–2020,SMALL_CITIES,Heavy-vehicle involved,Cross intersection,88,2,22.727272727272727
2018–2020,SMALL_CITIES,Heavy-vehicle involved,T intersection,62,1,16.129032258064516
2018–2020,SMALL_CITIES,Heavy-vehicle involved,Other/Unknown,9,0,0
2018–2020,SMALL_CITIES,Other-vehicle,Not at intersection,814,19,23.34152334152334
2018–2020,SMALL_CITIES,Other-vehicle,Cross intersection,544,2,3.676470588235294
2018–2020,SMALL_CITIES,Other-vehicle,T intersection,434,6,13.824884792626728
2018–2020,SMALL_CITIES,Other-vehicle,Other/Unknown,43,0,0
2018–2020,TOWNS,Heavy-vehicle involved,Not at intersection,60,2,33.333333333333336
2018–2020,TOWNS,Heavy-vehicle involved,Cross intersection,36,1,27.77777777777778
2018–2020,TOWNS,Heavy-vehicle involved,T intersection,27,0,0
2018–2020,TOWNS,Heavy-vehicle involved,Other/Unknown,2,0,0
2018–2020,TOWNS,Other-vehicle,Not at intersection,526,14,26.61596958174905
2018–2020,TOWNS,Other-vehicle,Cross intersection,352,5,14.204545454545455
2018–2020,TOWNS,Other-vehicle,T intersection,198,5,25.252525252525253
2018–2020,TOWNS,Other-vehicle,Other/Unknown,25,0,0
2021–2023,MELB_URBAN,Heavy-vehicle involved,Not at intersection,1776,14,7.882882882882883
2021–2023,MELB_URBAN,Heavy-vehicle involved,Cross intersection,1074,9,8.379888268156424
2021–2023,MELB_URBAN,Heavy-vehicle involved,T intersection,1039,4,3.8498556304138596
2021–2023,MELB_URBAN,Heavy-vehicle involved,Other/Unknown,84,0,0
2021–2023,MELB_URBAN,Other-vehicle,Not at intersection,11648,124,10.645604395604396
2021–2023,MELB_URBAN,Other-vehicle,Cross intersection,5547,50,9.013881377321075
2021–2023,MELB_URBAN,Other-vehicle,T intersection,5555,58,10.441044104410441
2021–2023,MELB_URBAN,Other-vehicle,Other/Unknown,653,5,7.656967840735069
2021–2023,RURAL_VICTORIA,Heavy-vehicle involved,Not at intersection,201,10,49.75124378109453
2021–2023,RURAL_VICTORIA,Heavy-vehicle involved,Cross intersection,38,2,52.63157894736842
2021–2023,RURAL_VICTORIA,Heavy-vehicle involved,T intersection,45,4,88.88888888888889
2021–2023,RURAL_VICTORIA,Heavy-vehicle involved,Other/Unknown,8,0,0
2021–2023,RURAL_VICTORIA,Other-vehicle,Not at intersection,6929,314,45.316784528792034
2021–2023,RURAL_VICTORIA,Other-vehicle,Cross intersection,1089,56,51.423324150596876
2021–2023,RURAL_VICTORIA,Other-vehicle,T intersection,1244,37,29.742765273311896
2021–2023,RURAL_VICTORIA,Other-vehicle,Other/Unknown,222,5,22.52252252252252
2021–2023,SMALL_CITIES,Heavy-vehicle involved,Not at intersection,110,0,0
2021–2023,SMALL_CITIES,Heavy-vehicle involved,Cross intersection,107,0,0
