period,geo4,hv_group,geom_group,crashes,fatalities,fatal_per_1000,share,share_pct
2015–2017,MELB_URBAN,Other-vehicle,T intersection,6335,61,9.62904498816101,0.2616363110725643,26.16363110725643
2015–2017,MELB_URBAN,Other-vehicle,Other/Unknown,827,5,6.045949214026602,0.03415520588113823,3.4155205881138233
2015–2017,RURAL_VICTORIA,Heavy-vehicle involved,Not at intersection,193,12,62.17616580310881,0.6917562724014337,69.17562724014337
2015–2017,RURAL_VICTORIA,Heavy-vehicle involved,Cross intersection,33,0,0,0.11827956989247312,11.827956989247312
2015–2017,RURAL_VICTORIA,Heavy-vehicle involved,T intersection,48,3,62.5,0.17204301075268819,17.20430107526882
2015–2017,RURAL_VICTORIA,Heavy-vehicle involved,Other/Unknown,5,0,0,0.017921146953405017,1.7921146953405016
2015–2017,RURAL_VICTORIA,Other-vehicle,Not at intersection,7418,347,46.77810730655163,0.7665598842616513,76.65598842616514
2015–2017,RURAL_VICTORIA,Other-vehicle,Cross intersection,836,48,57.41626794258373,0.08639041025111088,8.639041025111089
2015–2017,RURAL_VICTORIA,Other-vehicle,T intersection,1255,33,26.294820717131476,0.12968895318797147,12.968895318797147
2015–2017,RURAL_VICTORIA,Other-vehicle,Other/Unknown,168,4,23.80952380952381,0.017360752299266303,1.7360752299266302
2015–2017,SMALL_CITIES,Heavy-vehicle involved,Not at intersection,88,1,11.363636363636363,0.41706161137440756,41.70616113744076
2015–2017,SMALL_CITIES,Heavy-vehicle involved,Cross intersection,69,0,0,0.32701421800947866,32.70142180094787
2015–2017,SMALL_CITIES,Heavy-vehicle involved,T intersection,48,0,0,0.22748815165876776,22.748815165876778
2015–2017,SMALL_CITIES,Heavy-vehicle involved,Other/Unknown,6,0,0,0.02843601895734597,2.843601895734597
2015–2017,SMALL_CITIES,Other-vehicle,Not at intersection,905,15,16.574585635359117,0.42568203198494825,42.56820319849483
2015–2017,SMALL_CITIES,Other-vehicle,Cross intersection,665,10,15.037593984962406,0.312793979303857,31.2793979303857
2015–2017,SMALL_CITIES,Other-vehicle,T intersection,487,2,4.1067761806981515,0.229068673565381,22.9068673565381
2015–2017,SMALL_CITIES,Other-vehicle,Other/Unknown,69,1,14.492753623188406,0.032455315145813735,3.2455315145813737
2015–2017,TOWNS,Heavy-vehicle involved,Not at intersection,58,2,34.48275862068966,0.4715447154471545,47.15447154471545
2015–2017,TOWNS,Heavy-vehicle involved,Cross intersection,26,1,38.46153846153846,0.21138211382113822,21.138211382113823
2015–2017,TOWNS,Heavy-vehicle involved,T intersection,32,0,0,0.2601626016260163,26.01626016260163
2015–2017,TOWNS,Heavy-vehicle involved,Other/Unknown,7,0,0,0.056910569105691054,5.691056910569105
2015–2017,TOWNS,Other-vehicle,Not at intersection,592,13,21.95945945945946,0.46467817896389324,46.46781789638933
2015–2017,TOWNS,Other-vehicle,Cross intersection,398,2,5.025125628140704,0.31240188383045525,31.240188383045524
2015–2017,TOWNS,Other-vehicle,T intersection,265,1,3.7735849056603774,0.20800627943485087,20.800627943485086
2015–2017,TOWNS,Other-vehicle,Other/Unknown,19,2,105.26315789473684,0.014913657770800628,1.4913657770800628
2018–2020,MELB_URBAN,Heavy-vehicle involved,Not at intersection,1524,10,6.561679790026247,0.414468316562415,41.4468316562415
2018–2020,MELB_URBAN,Heavy-vehicle involved,Cross intersection,996,4,4.016064257028113,0.2708729942888224,27.08729942888224
2018–2020,MELB_URBAN,Heavy-vehicle involved,T intersection,1072,7,6.529850746268656,0.2915420179494153,29.15420179494153
2018–2020,MELB_URBAN,Heavy-vehicle involved,Other/Unknown,85,0,0,0.023116671199347294,2.3116671199347296
2018–2020,MELB_URBAN,Other-vehicle,Not at intersection,10085,117,11.601388200297471,0.47896086626139817,47.89608662613982
2018–2020,MELB_URBAN,Other-vehicle,Cross intersection,5264,41,7.788753799392097,0.25,25
2018–2020,MELB_URBAN,Other-vehicle,T intersection,5123,49,9.564708178801483,0.24330357142857142,24.330357142857142
2018–2020,MELB_URBAN,Other-vehicle,Other/Unknown,584,5,8.561643835616438,0.027735562310030396,2.7735562310030395
2018–2020,RURAL_VICTORIA,Heavy-vehicle involved,Not at intersection,171,10,58.47953216374269,0.7184873949579832,71.84873949579831
2018–2020,RURAL_VICTORIA,Heavy-vehicle involved,Cross intersection,23,0,0,0.09663865546218488,9.663865546218489
2018–2020,RURAL_VICTORIA,Heavy-vehicle involved,T intersection,40,1,25,0.16806722689075632,16.80672268907563
2018–2020,RURAL_VICTORIA,Heavy-vehicle involved,Other/Unknown,4,0,0,0.01680672268907563,1.680672268907563
2018–2020,RURAL_VICTORIA,Other-vehicle,Not at intersection,6292,289,45.93134138588684,0.7432959243945658,74.32959243945658
2018–2020,RURAL_VICTORIA,Other-vehicle,Cross intersection,921,34,36.91639522258415,0.10880094506792676,10.880094506792675
2018–2020,RURAL_VICTORIA,Other-vehicle,T intersection,1101,22,19.981834695731152,0.13006497341996456,13.006497341996456
2018–2020,RURAL_VICTORIA,Other-vehicle,Other/Unknown,151,4,26.490066225165563,0.017838157117542823,1.7838157117542823
2018–2020,SMALL_CITIES,Heavy-vehicle involved,Not at intersection,87,1,11.494252873563218,0.35365853658536583,35.36585365853659
2018–2020,SMALL_CITIES,Heavy-vehicle involved,Cross intersection,88,2,22.727272727272727,0.35772357723577236,35.77235772357724
2018–2020,SMALL_CITIES,Heavy-vehicle involved,T intersection,62,1,16.129032258064516,0.25203252032520324,25.203252032520325
2018–2020,SMALL_CITIES,Heavy-vehicle involved,Other/Unknown,9,0,0,0.036585365853658534,3.6585365853658534
2018–2020,SMALL_CITIES,Other-vehicle,Not at intersection,814,19,23.34152334152334,0.4435967302452316,44.35967302452316
2018–2020,SMALL_CITIES,Other-vehicle,Cross intersection,544,2,3.676470588235294,0.2964577656675749,29.645776566757494
2018–2020,SMALL_CITIES,Other-vehicle,T intersection,434,6,13.824884792626728,0.23651226158038147,23.651226158038146
2018–2020,SMALL_CITIES,Other-vehicle,Other/Unknown,43,0,0,0.023433242506811988,2.343324250681199
2018–2020,TOWNS,Heavy-vehicle involved,Not at intersection,60,2,33.333333333333336,0.48,48
2018–2020,TOWNS,Heavy-vehicle involved,Cross intersection,36,1,27.77777777777778,0.288,28.799999999999997
2018–2020,TOWNS,Heavy-vehicle involved,T intersection,27,0,0,0.216,21.6
