period,geo4,hv_group,crashes,fatalities,fatal_per_1000,share,share_pct,fatal_share,fatal_share_pct
2015–2017,SMALL_CITIES,Other-vehicle,2126,28,13.170272812793979,0.9097133076593924,90.97133076593924,0.9655172413793104,96.55172413793103
2015–2017,TOWNS,Heavy-vehicle involved,123,3,24.390243902439025,0.08804581245526127,8.804581245526128,0.14285714285714285,14.285714285714285
2015–2017,TOWNS,Other-vehicle,1274,18,14.1287284144427,0.9119541875447388,91.19541875447388,0.8571428571428571,85.71428571428571
2018–2020,MELB_URBAN,Heavy-vehicle involved,3677,21,5.711177590426979,0.14866777180285448,14.866777180285448,0.09012875536480687,9.012875536480687
2018–2020,MELB_URBAN,Other-vehicle,21056,212,10.06838905775076,0.8513322281971455,85.13322281971455,0.9098712446351931,90.98712446351931
2018–2020,RURAL_VICTORIA,Heavy-vehicle involved,238,11,46.21848739495798,0.027346891876364472,2.734689187636447,0.030555555555555555,3.0555555555555554
2018–2020,RURAL_VICTORIA,Other-vehicle,8465,349,41.22858830478441,0.9726531081236355,97.26531081236355,0.9694444444444444,96.94444444444444
2018–2020,SMALL_CITIES,Heavy-vehicle involved,246,4,16.260162601626018,0.11821239788563191,11.821239788563192,0.12903225806451613,12.903225806451612
2018–2020,SMALL_CITIES,Other-vehicle,1835,27,14.713896457765667,0.8817876021143681,88.17876021143681,0.8709677419354839,87.09677419354838
2018–2020,TOWNS,Heavy-vehicle involved,125,3,24,0.10195758564437195,10.195758564437195,0.1111111111111111,11.11111111111111
2018–2020,TOWNS,Other-vehicle,1101,24,21.798365122615802,0.898042414355628,89.8042414355628,0.8888888888888888,88.88888888888889
2021–2023,MELB_URBAN,Heavy-vehicle involved,3973,27,6.795872136924238,0.1451271186440678,14.51271186440678,0.10227272727272728,10.227272727272728
2021–2023,MELB_URBAN,Other-vehicle,23403,237,10.126906806819639,0.8548728813559322,85.48728813559322,0.8977272727272727,89.77272727272727
2021–2023,RURAL_VICTORIA,Heavy-vehicle involved,292,16,54.794520547945204,0.029869067103109655,2.9869067103109654,0.037383177570093455,3.7383177570093453
2021–2023,RURAL_VICTORIA,Other-vehicle,9484,412,43.44158582876423,0.9701309328968903,97.01309328968904,0.9626168224299065,96.26168224299066
2021–2023,SMALL_CITIES,Heavy-vehicle involved,278,0,0,0.1208695652173913,12.086956521739129,0,0
2021–2023,SMALL_CITIES,Other-vehicle,2022,28,13.847675568743819,0.8791304347826087,87.91304347826086,1,100
2021–2023,TOWNS,Heavy-vehicle involved,148,2,13.513513513513514,0.10701373825018076,10.701373825018075,0.08695652173913043,8.695652173913043
2021–2023,TOWNS,Other-vehicle,1235,21,17.004048582995953,0.8929862617498192,89.29862617498192,0.9130434782608695,91.30434782608695
2024–2025,MELB_URBAN,Heavy-vehicle involved,1097,12,10.938924339106654,0.15998249963540906,15.998249963540905,0.14457831325301204,14.457831325301203
2024–2025,MELB_URBAN,Other-vehicle,5760,71,12.32638888888889,0.8400175003645909,84.00175003645909,0.8554216867469879,85.54216867469879
2024–2025,RURAL_VICTORIA,Heavy-vehicle involved,79,4,50.63291139240506,0.03237704918032787,3.237704918032787,0.0380952380952381,3.8095238095238098
2024–2025,RURAL_VICTORIA,Other-vehicle,2361,101,42.778483693350275,0.9676229508196721,96.76229508196721,0.9619047619047619,96.19047619047619
2024–2025,SMALL_CITIES,Heavy-vehicle involved,71,1,14.084507042253522,0.12769784172661872,12.769784172661872,0.09090909090909091,9.090909090909092
2024–2025,SMALL_CITIES,Other-vehicle,485,10,20.61855670103093,0.8723021582733813,87.23021582733813,0.9090909090909091,90.9090909090909
2024–2025,TOWNS,Heavy-vehicle involved,38,1,26.31578947368421,0.12179487179487179,12.179487179487179,0.125,12.5
2024–2025,TOWNS,Other-vehicle,274,7,25.547445255474454,0.8782051282051282,87.82051282051282,0.875,87.5
