period,geo4,speed_bucket,crashes,fatalities,fatal_per_1000,share,share_pct
2021–2023,SMALL_CITIES,<=60,1866,14,7.502679528403001,0.8470267816613709,84.70267816613709
2021–2023,SMALL_CITIES,70–80,270,12,44.44444444444444,0.12256014525646845,12.256014525646846
2021–2023,SMALL_CITIES,>=90,67,2,29.850746268656717,0.03041307308216069,3.041307308216069
2021–2023,TOWNS,<=60,1126,13,11.545293072824157,0.8523845571536715,85.23845571536714
2021–2023,TOWNS,70–80,156,8,51.282051282051285,0.11809235427706283,11.809235427706282
2021–2023,TOWNS,>=90,39,1,25.641025641025642,0.029523088569265707,2.9523088569265705
2024–2025,MELB_URBAN,<=60,4258,55,12.916862376702678,0.685889175257732,68.5889175257732
2024–2025,MELB_URBAN,70–80,1555,25,16.077170418006432,0.2504832474226804,25.04832474226804
2024–2025,MELB_URBAN,>=90,395,1,2.5316455696202533,0.06362757731958762,6.362757731958762
2024–2025,RURAL_VICTORIA,<=60,478,9,18.828451882845187,0.22139879573876795,22.139879573876794
2024–2025,RURAL_VICTORIA,70–80,622,15,24.115755627009648,0.2880963408985642,28.809634089856416
2024–2025,RURAL_VICTORIA,>=90,1059,78,73.65439093484419,0.4905048633626679,49.05048633626679
2024–2025,SMALL_CITIES,<=60,441,7,15.873015873015873,0.8448275862068966,84.48275862068965
2024–2025,SMALL_CITIES,70–80,71,3,42.25352112676056,0.1360153256704981,13.601532567049809
2024–2025,SMALL_CITIES,>=90,10,0,0,0.019157088122605363,1.9157088122605364
2024–2025,TOWNS,<=60,247,5,20.242914979757085,0.8401360544217688,84.01360544217688
2024–2025,TOWNS,70–80,34,0,0,0.11564625850340136,11.564625850340136
2024–2025,TOWNS,>=90,13,2,153.84615384615384,0.04421768707482993,4.421768707482993
