period,geo4,geom_group,crashes,fatalities,fatal_per_1000,share,share_pct
2018–2020,RURAL_VICTORIA,T intersection,1141,23,20.15775635407537,0.1311042169366885,13.110421693668851
2018–2020,RURAL_VICTORIA,Other/Unknown,155,4,25.806451612903224,0.01780995059174997,1.780995059174997
2018–2020,SMALL_CITIES,Not at intersection,901,20,22.197558268590456,0.4329649207111965,43.29649207111965
2018–2020,SMALL_CITIES,Cross intersection,632,4,6.329113924050633,0.30370014416146085,30.370014416146084
2018–2020,SMALL_CITIES,T intersection,496,7,14.112903225806452,0.2383469485824123,23.834694858241228
2018–2020,SMALL_CITIES,Other/Unknown,52,0,0,0.024987986544930323,2.4987986544930325
2018–2020,TOWNS,Not at intersection,586,16,27.303754266211605,0.47797716150081565,47.79771615008156
2018–2020,TOWNS,Cross intersection,388,6,15.463917525773196,0.3164763458401305,31.64763458401305
2018–2020,TOWNS,T intersection,225,5,22.22222222222222,0.1835236541598695,18.35236541598695
2018–2020,TOWNS,Other/Unknown,27,0,0,0.02202283849918434,2.202283849918434
2021–2023,MELB_URBAN,Not at intersection,13424,138,10.280095351609058,0.49035651665692576,49.035651665692576
2021–2023,MELB_URBAN,Cross intersection,6621,59,8.911040628303882,0.24185417884278199,24.1854178842782
2021–2023,MELB_URBAN,T intersection,6594,62,9.402487109493478,0.2408679135008767,24.08679135008767
2021–2023,MELB_URBAN,Other/Unknown,737,5,6.784260515603799,0.026921390999415547,2.6921390999415546
2021–2023,RURAL_VICTORIA,Not at intersection,7130,324,45.44179523141655,0.7293371522094927,72.93371522094927
2021–2023,RURAL_VICTORIA,Cross intersection,1127,58,51.464063886424135,0.1152823240589198,11.52823240589198
2021–2023,RURAL_VICTORIA,T intersection,1289,41,31.807602792862685,0.13185351882160393,13.185351882160393
2021–2023,RURAL_VICTORIA,Other/Unknown,230,5,21.73913043478261,0.023527004909983634,2.3527004909983633
2021–2023,SMALL_CITIES,Not at intersection,1003,21,20.937188434695912,0.4360869565217391,43.608695652173914
2021–2023,SMALL_CITIES,Cross intersection,748,3,4.0106951871657754,0.32521739130434785,32.52173913043478
2021–2023,SMALL_CITIES,T intersection,498,4,8.032128514056225,0.2165217391304348,21.65217391304348
2021–2023,SMALL_CITIES,Other/Unknown,51,0,0,0.02217391304347826,2.2173913043478257
2021–2023,TOWNS,Not at intersection,679,7,10.309278350515465,0.4909616775126536,49.09616775126536
2021–2023,TOWNS,Cross intersection,396,7,17.67676767676768,0.28633405639913234,28.633405639913235
