period,geo4,geom_group,crashes,share,share_pct
2024–2025,MELB_URBAN,Cross intersection,1833,0.26731806912644013,26.731806912644014
2024–2025,MELB_URBAN,T intersection,1774,0.25871372320256675,25.871372320256675
2024–2025,MELB_URBAN,Other/Unknown,99,0.014437800787516407,1.4437800787516406
2024–2025,RURAL_VICTORIA,Not at intersection,1733,0.7102459016393443,71.02459016393443
2024–2025,RURAL_VICTORIA,Cross intersection,300,0.12295081967213115,12.295081967213115
2024–2025,RURAL_VICTORIA,T intersection,380,0.1557377049180328,15.573770491803279
2024–2025,RURAL_VICTORIA,Other/Unknown,27,0.011065573770491803,1.1065573770491803
2024–2025,SMALL_CITIES,Not at intersection,224,0.4028776978417266,40.28776978417266
2024–2025,SMALL_CITIES,Cross intersection,182,0.3273381294964029,32.73381294964029
2024–2025,SMALL_CITIES,T intersection,144,0.2589928057553957,25.899280575539567
2024–2025,SMALL_CITIES,Other/Unknown,6,0.01079136690647482,1.079136690647482
2024–2025,TOWNS,Not at intersection,147,0.47115384615384615,47.11538461538461
2024–2025,TOWNS,Cross intersection,106,0.33974358974358976,33.97435897435898
2024–2025,TOWNS,T intersection,54,0.17307692307692307,17.307692307692307
2024–2025,TOWNS,Other/Unknown,5,0.016025641025641024,1.6025641025641024
