period,geo4,weather_cat,crashes,fatalities,fatal_per_1000,share,share_pct
2018–2020,RURAL_VICTORIA,Fine/Clear,6092,227,37.261982928430726,0.6999885097092956,69.99885097092957
2018–2020,RURAL_VICTORIA,Raining,513,11,21.44249512670565,0.05894519131334023,5.894519131334023
2018–2020,RURAL_VICTORIA,Fog/Smoke,286,7,24.475524475524477,0.03286223141445479,3.286223141445479
2018–2020,RURAL_VICTORIA,Snow/Hail,13,0,0,0.0014937377915661266,0.14937377915661265
2018–2020,RURAL_VICTORIA,Windy,1601,106,66.20861961274204,0.18395955417672066,18.395955417672067
2018–2020,RURAL_VICTORIA,Dust,57,2,35.08771929824562,0.006549465701482247,0.6549465701482248
2018–2020,RURAL_VICTORIA,Other/Unknown,141,7,49.645390070921984,0.016201309893140295,1.6201309893140294
2018–2020,SMALL_CITIES,Fine/Clear,1527,16,10.478061558611657,0.7337818356559347,73.37818356559347
2018–2020,SMALL_CITIES,Raining,108,3,27.77777777777778,0.05189812590100913,5.189812590100913
2018–2020,SMALL_CITIES,Fog/Smoke,333,9,27.027027027027028,0.1600192215281115,16.001922152811147
2018–2020,SMALL_CITIES,Snow/Hail,5,0,0,0.002402691013935608,0.2402691013935608
2018–2020,SMALL_CITIES,Windy,51,2,39.21568627450981,0.0245074483421432,2.45074483421432
2018–2020,SMALL_CITIES,Dust,17,0,0,0.008169149447381067,0.8169149447381067
2018–2020,SMALL_CITIES,Other/Unknown,40,1,25,0.019221528111484865,1.9221528111484865
2018–2020,TOWNS,Fine/Clear,909,15,16.501650165016503,0.7414355628058727,74.14355628058728
2018–2020,TOWNS,Raining,56,3,53.57142857142857,0.04567699836867863,4.567699836867863
2018–2020,TOWNS,Fog/Smoke,155,7,45.16129032258065,0.1264274061990212,12.64274061990212
2018–2020,TOWNS,Snow/Hail,1,0,0,8.156606851549756e-4,0.08156606851549755
2018–2020,TOWNS,Windy,72,1,13.88888888888889,0.05872756933115824,5.872756933115824
2018–2020,TOWNS,Dust,10,1,100,0.008156606851549755,0.8156606851549755
2018–2020,TOWNS,Other/Unknown,23,0,0,0.018760195758564437,1.8760195758564437
2021–2023,MELB_URBAN,Fine/Clear,17893,148,8.271391046778069,0.6536016949152542,65.36016949152543
2021–2023,MELB_URBAN,Raining,2332,11,4.716981132075472,0.08518410286382233,8.518410286382233
2021–2023,MELB_URBAN,Fog/Smoke,5208,91,17.473118279569892,0.190239625949737,19.0239625949737
2021–2023,MELB_URBAN,Snow/Hail,55,1,18.181818181818183,0.0020090590298071304,0.20090590298071304
2021–2023,MELB_URBAN,Windy,417,11,26.378896882494004,0.015232320280537698,1.5232320280537697
2021–2023,MELB_URBAN,Dust,370,0,0,0.013515488018702513,1.3515488018702513
2021–2023,MELB_URBAN,Other/Unknown,1101,2,1.8165304268846503,0.0402177089421391,4.02177089421391
2021–2023,RURAL_VICTORIA,Fine/Clear,6745,286,42.40177909562639,0.689954991816694,68.9954991816694
2021–2023,RURAL_VICTORIA,Raining,767,27,35.202086049543674,0.07845744680851063,7.845744680851063
2021–2023,RURAL_VICTORIA,Fog/Smoke,430,11,25.58139534883721,0.043985270049099835,4.398527004909983
2021–2023,RURAL_VICTORIA,Snow/Hail,20,0,0,0.0020458265139116204,0.20458265139116205
2021–2023,RURAL_VICTORIA,Windy,1530,94,61.43790849673203,0.15650572831423895,15.650572831423895
2021–2023,RURAL_VICTORIA,Dust,69,5,72.46376811594203,0.00705810147299509,0.705810147299509
2021–2023,RURAL_VICTORIA,Other/Unknown,215,5,23.25581395348837,0.021992635024549918,2.1992635024549916
2021–2023,SMALL_CITIES,Fine/Clear,1616,14,8.663366336633663,0.7026086956521739,70.26086956521739
2021–2023,SMALL_CITIES,Raining,175,4,22.857142857142858,0.07608695652173914,7.608695652173914
2021–2023,SMALL_CITIES,Fog/Smoke,350,5,14.285714285714286,0.15217391304347827,15.217391304347828
2021–2023,SMALL_CITIES,Snow/Hail,6,0,0,0.0026086956521739132,0.26086956521739135
2021–2023,SMALL_CITIES,Windy,73,5,68.4931506849315,0.03173913043478261,3.173913043478261
2021–2023,SMALL_CITIES,Dust,31,0,0,0.013478260869565217,1.3478260869565217
2021–2023,SMALL_CITIES,Other/Unknown,49,0,0,0.021304347826086957,2.130434782608696
2021–2023,TOWNS,Fine/Clear,1023,16,15.640273704789834,0.7396963123644251,73.96963123644251
2021–2023,TOWNS,Raining,89,0,0,0.064352856109906,6.4352856109906
2021–2023,TOWNS,Fog/Smoke,168,4,23.80952380952381,0.12147505422993492,12.147505422993492
2021–2023,TOWNS,Snow/Hail,1,0,0,7.230657989877079e-4,0.07230657989877079
2021–2023,TOWNS,Windy,59,2,33.898305084745765,0.04266088214027477,4.2660882140274765
2021–2023,TOWNS,Dust,21,0,0,0.015184381778741865,1.5184381778741864
2021–2023,TOWNS,Other/Unknown,22,1,45.45454545454545,0.015907447577729574,1.5907447577729574
2024–2025,MELB_URBAN,Fine/Clear,4568,40,8.756567425569177,0.6661805454280297,66.61805454280298
2024–2025,MELB_URBAN,Raining,475,6,12.631578947368421,0.06927227650576054,6.927227650576054
2024–2025,MELB_URBAN,Fog/Smoke,1431,31,21.663172606568832,0.20869184774682806,20.869184774682807
2024–2025,MELB_URBAN,Snow/Hail,26,0,0,0.0037917456613679452,0.3791745661367945
2024–2025,MELB_URBAN,Windy,103,4,38.83495145631068,0.015021146273880705,1.5021146273880706
2024–2025,MELB_URBAN,Dust,123,2,16.260162601626018,0.0179378737057022,1.79378737057022
2024–2025,MELB_URBAN,Other/Unknown,131,0,0,0.019104564678430802,1.9104564678430802
2024–2025,RURAL_VICTORIA,Fine/Clear,1651,68,41.18715929739552,0.6766393442622951,67.66393442622952
2024–2025,RURAL_VICTORIA,Raining,173,8,46.24277456647399,0.0709016393442623,7.09016393442623
2024–2025,RURAL_VICTORIA,Fog/Smoke,141,3,21.27659574468085,0.05778688524590164,5.778688524590164
2024–2025,RURAL_VICTORIA,Snow/Hail,5,0,0,0.0020491803278688526,0.20491803278688525
2024–2025,RURAL_VICTORIA,Windy,426,26,61.032863849765256,0.17459016393442622,17.45901639344262
2024–2025,RURAL_VICTORIA,Dust,28,0,0,0.011475409836065573,1.1475409836065573
2024–2025,RURAL_VICTORIA,Other/Unknown,16,0,0,0.006557377049180328,0.6557377049180327
2024–2025,SMALL_CITIES,Fine/Clear,407,9,22.11302211302211,0.7320143884892086,73.20143884892086
2024–2025,SMALL_CITIES,Raining,31,0,0,0.05575539568345324,5.575539568345324
2024–2025,SMALL_CITIES,Fog/Smoke,88,1,11.363636363636363,0.15827338129496402,15.827338129496402
2024–2025,SMALL_CITIES,Snow/Hail,1,0,0,0.0017985611510791368,0.1798561151079137
2024–2025,SMALL_CITIES,Windy,14,1,71.42857142857143,0.025179856115107913,2.5179856115107913
2024–2025,SMALL_CITIES,Dust,8,0,0,0.014388489208633094,1.4388489208633095
2024–2025,SMALL_CITIES,Other/Unknown,7,0,0,0.012589928057553957,1.2589928057553956
2024–2025,TOWNS,Fine/Clear,217,5,23.04147465437788,0.6955128205128205,69.55128205128204
2024–2025,TOWNS,Raining,24,0,0,0.07692307692307693,7.6923076923076925
2024–2025,TOWNS,Fog/Smoke,48,2,41.666666666666664,0.15384615384615385,15.384615384615385
2024–2025,TOWNS,Windy,18,1,55.55555555555556,0.057692307692307696,5.769230769230769
2024–2025,TOWNS,Dust,4,0,0,0.01282051282051282,1.282051282051282
2024–2025,TOWNS,Other/Unknown,1,0,0,0.003205128205128205,0.3205128205128205
