period,geo4,weather_cat,crashes,fatalities,fatal_per_1000
2021–2023,RURAL_VICTORIA,Other/Unknown,215,5,23.25581395348837
2021–2023,SMALL_CITIES,Fine/Clear,1616,14,8.663366336633663
2021–2023,SMALL_CITIES,Raining,175,4,22.857142857142858
2021–2023,SMALL_CITIES,Fog/Smoke,350,5,14.285714285714286
2021–2023,SMALL_CITIES,Snow/Hail,6,0,0
2021–2023,SMALL_CITIES,Windy,73,5,68.4931506849315
2021–2023,SMALL_CITIES,Dust,31,0,0
2021–2023,SMALL_CITIES,Other/Unknown,49,0,0
2021–2023,TOWNS,Fine/Clear,1023,16,15.640273704789834
2021–2023,TOWNS,Raining,89,0,0
2021–2023,TOWNS,Fog/Smoke,168,4,23.80952380952381
2021–2023,TOWNS,Snow/Hail,1,0,0
2021–2023,TOWNS,Windy,59,2,33.898305084745765
2021–2023,TOWNS,Dust,21,0,0
2021–2023,TOWNS,Other/Unknown,22,1,45.45454545454545
2024–2025,MELB_URBAN,Fine/Clear,4568,40,8.756567425569177
2024–2025,MELB_URBAN,Raining,475,6,12.631578947368421
2024–2025,MELB_URBAN,Fog/Smoke,1431,31,21.663172606568832
2024–2025,MELB_URBAN,Snow/Hail,26,0,0
2024–2025,MELB_URBAN,Windy,103,4,38.83495145631068
2024–2025,MELB_URBAN,Dust,123,2,16.260162601626018
2024–2025,MELB_URBAN,Other/Unknown,131,0,0
2024–2025,RURAL_VICTORIA,Fine/Clear,1651,68,41.18715929739552
2024–2025,RURAL_VICTORIA,Raining,173,8,46.24277456647399
2024–2025,RURAL_VICTORIA,Fog/Smoke,141,3,21.27659574468085
2024–2025,RURAL_VICTORIA,Snow/Hail,5,0,0
2024–2025,RURAL_VICTORIA,Windy,426,26,61.032863849765256
2024–2025,RURAL_VICTORIA,Dust,28,0,0
2024–2025,RURAL_VICTORIA,Other/Unknown,16,0,0
2024–2025,SMALL_CITIES,Fine/Clear,407,9,22.11302211302211
2024–2025,SMALL_CITIES,Raining,31,0,0
2024–2025,SMALL_CITIES,Fog/Smoke,88,1,11.363636363636363
2024–2025,SMALL_CITIES,Snow/Hail,1,0,0
2024–2025,SMALL_CITIES,Windy,14,1,71.42857142857143
2024–2025,SMALL_CITIES,Dust,8,0,0
2024–2025,SMALL_CITIES,Other/Unknown,7,0,0
2024–2025,TOWNS,Fine/Clear,217,5,23.04147465437788
2024–2025,TOWNS,Raining,24,0,0
2024–2025,TOWNS,Fog/Smoke,48,2,41.666666666666664
2024–2025,TOWNS,Windy,18,1,55.55555555555556
2024–2025,TOWNS,Dust,4,0,0
2024–2025,TOWNS,Other/Unknown,1,0,0
