period,geo4,light_cat,crashes,share,share_pct
2012–2014,MELB_URBAN,Daylight,17308,0.6316096777725067,63.16096777725066
2012–2014,MELB_URBAN,Dusk/Dawn,3272,0.11940298507462686,11.940298507462686
2012–2014,MELB_URBAN,Dark—Lighted,5313,0.19388388132686202,19.388388132686202
2012–2014,MELB_URBAN,Dark—Unlighted,57,0.0020800642265445387,0.20800642265445388
2012–2014,MELB_URBAN,Other/Unknown,1453,0.053023391599459915,5.3023391599459915
2012–2014,RURAL_VICTORIA,Daylight,6000,0.6729475100942126,67.29475100942126
2012–2014,RURAL_VICTORIA,Dusk/Dawn,976,0.1094661283086586,10.94661283086586
2012–2014,RURAL_VICTORIA,Dark—Lighted,175,0.019627635711081202,1.9627635711081202
2012–2014,RURAL_VICTORIA,Dark—Unlighted,13,0.0014580529385374607,0.14580529385374608
2012–2014,RURAL_VICTORIA,Other/Unknown,1752,0.19650067294751009,19.650067294751008
2012–2014,SMALL_CITIES,Daylight,1458,0.685472496473907,68.5472496473907
2012–2014,SMALL_CITIES,Dusk/Dawn,223,0.10484250117536437,10.484250117536437
2012–2014,SMALL_CITIES,Dark—Lighted,317,0.14903620122237893,14.903620122237893
2012–2014,SMALL_CITIES,Dark—Unlighted,8,0.0037611659614480487,0.37611659614480486
2012–2014,SMALL_CITIES,Other/Unknown,121,0.05688763516690174,5.688763516690174
2012–2014,TOWNS,Daylight,913,0.7023076923076923,70.23076923076923
2012–2014,TOWNS,Dusk/Dawn,129,0.09923076923076923,9.923076923076923
2012–2014,TOWNS,Dark—Lighted,165,0.12692307692307692,12.692307692307692
2012–2014,TOWNS,Dark—Unlighted,1,7.692307692307692e-4,0.07692307692307693
2012–2014,TOWNS,Other/Unknown,92,0.07076923076923076,7.076923076923077
2015–2017,MELB_URBAN,Daylight,18111,0.6414606502798045,64.14606502798044
2015–2017,MELB_URBAN,Dusk/Dawn,2629,0.09311468442303605,9.311468442303605
2015–2017,MELB_URBAN,Dark—Lighted,5708,0.20216759934830347,20.216759934830346
2015–2017,MELB_URBAN,Dark—Unlighted,73,0.002585535170361975,0.2585535170361975
2015–2017,MELB_URBAN,Other/Unknown,1713,0.060671530778494014,6.067153077849401
2015–2017,RURAL_VICTORIA,Daylight,6768,0.6797910807553235,67.97910807553235
2015–2017,RURAL_VICTORIA,Dusk/Dawn,889,0.08929288871032544,8.929288871032544
2015–2017,RURAL_VICTORIA,Dark—Lighted,256,0.02571313780634793,2.571313780634793
2015–2017,RURAL_VICTORIA,Dark—Unlighted,21,0.002109280835676979,0.21092808356769788
2015–2017,RURAL_VICTORIA,Other/Unknown,2022,0.20309361189232625,20.309361189232625
2015–2017,SMALL_CITIES,Daylight,1638,0.7008985879332478,70.08985879332478
2015–2017,SMALL_CITIES,Dusk/Dawn,193,0.08258451005562688,8.258451005562687
2015–2017,SMALL_CITIES,Dark—Lighted,381,0.16302952503209242,16.30295250320924
2015–2017,SMALL_CITIES,Dark—Unlighted,5,0.002139495079161318,0.21394950791613182
2015–2017,SMALL_CITIES,Other/Unknown,120,0.051347881899871634,5.134788189987163
2015–2017,TOWNS,Daylight,996,0.7129563350035791,71.29563350035791
2015–2017,TOWNS,Dusk/Dawn,116,0.08303507516105942,8.303507516105942
2015–2017,TOWNS,Dark—Lighted,180,0.12884753042233357,12.884753042233358
2015–2017,TOWNS,Dark—Unlighted,2,0.0014316392269148174,0.14316392269148173
2015–2017,TOWNS,Other/Unknown,103,0.0737294201861131,7.37294201861131
2018–2020,MELB_URBAN,Daylight,16950,0.6853192091537622,68.53192091537622
2018–2020,MELB_URBAN,Dusk/Dawn,1459,0.05899001334249788,5.899001334249788
2018–2020,MELB_URBAN,Dark—Lighted,4611,0.186431083976873,18.6431083976873
2018–2020,MELB_URBAN,Dark—Unlighted,60,0.0024259087049690697,0.24259087049690697
2018–2020,MELB_URBAN,Other/Unknown,1653,0.06683378482189786,6.683378482189786
2018–2020,RURAL_VICTORIA,Daylight,6092,0.6999885097092956,69.99885097092957
2018–2020,RURAL_VICTORIA,Dusk/Dawn,513,0.05894519131334023,5.894519131334023
2018–2020,RURAL_VICTORIA,Dark—Lighted,286,0.03286223141445479,3.286223141445479
