period,urban_rural,speed_bucket,crashes,fatalities,fatal_per_1000,share,share_pct
2012–2014,RURAL,70–80,1825,48,26.301369863013697,0.20468820098698967,20.468820098698966
2012–2014,RURAL,<=60,766,6,7.83289817232376,0.08591296545536115,8.591296545536114
2012–2014,RURAL,>=90,5468,357,65.28895391367959,0.6132794975325258,61.327949753252575
2012–2014,RURAL,Unknown,857,4,4.667444574095683,0.09611933602512338,9.611933602512337
2012–2014,URBAN,70–80,6492,104,16.019716574245226,0.2369083676969675,23.690836769696748
2012–2014,URBAN,<=60,18033,150,8.318083513558475,0.6580666350399591,65.8066635039959
2012–2014,URBAN,>=90,1327,23,17.33232856066315,0.04842535488815093,4.842535488815093
2012–2014,URBAN,Unknown,1551,1,0.6447453255963894,0.05659964237492245,5.659964237492245
2015–2017,RURAL,70–80,2191,60,27.38475581926061,0.22006830052229812,22.006830052229812
2015–2017,RURAL,<=60,1034,15,14.506769825918763,0.10385697067095219,10.385697067095219
2015–2017,RURAL,>=90,5674,366,64.50475854776172,0.5699075934110084,56.99075934110084
2015–2017,RURAL,Unknown,1057,6,5.676442762535478,0.10616713539574126,10.616713539574125
2015–2017,URBAN,70–80,6517,88,13.503145619149915,0.23082099596231495,23.082099596231494
2015–2017,URBAN,<=60,18391,171,9.298026208471535,0.6513777714811929,65.1377771481193
2015–2017,URBAN,>=90,1568,22,14.03061224489796,0.055535878727775025,5.553587872777502
2015–2017,URBAN,Unknown,1758,5,2.844141069397042,0.06226535382871715,6.226535382871715
2018–2020,RURAL,70–80,2127,56,26.328161730136344,0.24439848328162703,24.439848328162704
2018–2020,RURAL,<=60,1230,19,15.447154471544716,0.1413305756635643,14.13305756635643
2018–2020,RURAL,>=90,4592,278,60.54006968641115,0.5276341491439733,52.76341491439733
2018–2020,RURAL,Unknown,754,7,9.283819628647215,0.08663679191083534,8.663679191083535
2018–2020,URBAN,70–80,5609,83,14.797646639329649,0.22678203210285852,22.67820321028585
2018–2020,URBAN,<=60,16014,132,8.242787560884226,0.6474750333562447,64.74750333562447
2018–2020,URBAN,>=90,1161,13,11.19724375538329,0.0469413334411515,4.69413334411515
2018–2020,URBAN,Unknown,1949,5,2.565418163160595,0.07880160109974528,7.880160109974528
2021–2023,RURAL,70–80,2460,70,28.45528455284553,0.2516366612111293,25.163666121112932
2021–2023,RURAL,<=60,1723,39,22.634939059779455,0.1762479541734861,17.62479541734861
2021–2023,RURAL,>=90,4634,310,66.89684937419077,0.47401800327332244,47.401800327332246
2021–2023,RURAL,Unknown,959,9,9.384775808133472,0.0980973813420622,9.809738134206219
2021–2023,URBAN,70–80,6554,93,14.189807750991761,0.23940677966101695,23.940677966101696
2021–2023,URBAN,<=60,17233,155,8.994371264434514,0.6294929865575687,62.94929865575687
2021–2023,URBAN,>=90,1334,13,9.745127436281859,0.048728813559322036,4.872881355932203
2021–2023,URBAN,Unknown,2255,3,1.3303769401330376,0.08237142022209235,8.237142022209234
2024–2025,RURAL,70–80,622,15,24.115755627009648,0.25491803278688524,25.491803278688526
2024–2025,RURAL,<=60,478,9,18.828451882845187,0.1959016393442623,19.59016393442623
2024–2025,RURAL,>=90,1059,78,73.65439093484419,0.43401639344262294,43.40163934426229
2024–2025,RURAL,Unknown,281,3,10.676156583629894,0.1151639344262295,11.51639344262295
2024–2025,URBAN,70–80,1555,25,16.077170418006432,0.22677555782412134,22.677555782412135
2024–2025,URBAN,<=60,4258,55,12.916862376702678,0.6209712702347966,62.09712702347966
2024–2025,URBAN,>=90,395,1,2.5316455696202533,0.057605366778474554,5.760536677847456
2024–2025,URBAN,Unknown,649,2,3.0816640986132513,0.09464780516260755,9.464780516260756
